epoch,train_loss,train_grad_global,train_grad_avg,train_grad_max,eval_loss,eval_top1,eval_top5,eval_advloss,eval_advtop1,eval_advtop5,lr
15,3.5582567883147704,nan,nan,nan,2.0596259375,54.458000007324216,78.16199999267577,0,0,0,9.909347735729111e-05
16,3.4414297907377223,nan,nan,nan,1.9054521875,57.493999997558596,80.57000001220703,0,0,0,9.897706556056872e-05
17,3.3816027347799493,0.9999998842688392,0.015662836661101298,0.04147775272438995,1.782625625,59.93600001220703,82.55200000976562,0,0,0,9.885370927539598e-05
18,3.2832536907981242,nan,nan,nan,1.68158875,62.12800002685547,83.87000000488281,0,0,0,9.872342798116033e-05
19,3.219809382844219,nan,nan,nan,1.5992359375,63.792000024414065,85.04199999755859,0,0,0,9.858624225078841e-05
20,3.1510109400196518,0.9999998755973402,0.017699364463182838,0.0433393683207097,1.5294684375,65.25399999511718,85.94599999755859,0,0,0,9.844217374749732e-05
21,3.0672140124318696,nan,nan,nan,1.4691796875,66.53799999267578,86.83999999511718,0,0,0,9.829124522137387e-05
22,3.0406220045974024,nan,nan,nan,1.418485625,67.53199998779297,87.51800001953124,0,0,0,9.813348050578192e-05
23,2.9667993640061097,nan,nan,0.052854097513802094,1.373618125,68.43399998779297,88.16800001708984,0,0,0,9.796890451359894e-05
24,2.9548405465081062,nan,nan,0.05891794002771997,1.3360584375,69.21800001220703,88.57799998779296,0,0,0,9.779754323328192e-05
25,2.867958971969992,nan,nan,nan,1.3054053125,69.93199998779296,88.98199998779297,0,0,0,9.76194237247635e-05
26,2.8638675423930113,0.9999998319301483,0.02207548588503192,0.07109575041254862,1.2800909375,70.46600001464844,89.29599998779297,0,0,0,9.74345741151789e-05
27,2.8039365255480093,nan,nan,nan,1.2592740625,70.88999998779298,89.52999998779296,0,0,0,9.724302359442434e-05
28,2.7648625146094368,nan,nan,nan,1.2419590625,71.30600001220704,89.76000003417968,0,0,0,9.704480241054755e-05
29,2.7402301663212736,nan,nan,0.10816645770550345,1.2267709375,71.62200001220702,89.95400000732423,0,0,0,9.683994186497131e-05
30,2.7334830343103906,nan,nan,nan,1.214961875,71.9580000048828,90.14200000732421,0,0,0,9.662847430755062e-05
31,2.6963003603674527,nan,nan,nan,1.2056134375,72.25800000976562,90.2920000341797,0,0,0,9.641043313146417e-05
32,2.7002669418934913,nan,nan,nan,1.1993984375,72.44400001220703,90.38800003417968,0,0,0,9.618585276794129e-05
33,2.615293302314935,nan,nan,0.15340758406733582,1.19287375,72.64199998779297,90.5460000366211,0,0,0,9.595476868082481e-05
34,2.60449628473567,nan,nan,0.1660864721197519,1.18953125,72.77800000976562,90.66400000976563,0,0,0,9.571721736097089e-05
35,2.6337473600221384,nan,nan,nan,1.1868925,72.93200001220703,90.73200003662109,0,0,0,9.54732363204867e-05
36,2.6033142474915483,nan,nan,0.14009819307374202,1.185471875,73.08400000976563,90.78600003662109,0,0,0,9.522286408680687e-05
37,2.5778579468921508,nan,nan,nan,1.184703125,73.16800003417968,90.85600003417969,0,0,0,9.49661401966095e-05
38,2.561423464978246,nan,nan,nan,1.1826615625,73.32000002929688,90.91800003173829,0,0,0,9.47031051895729e-05
39,2.5326782202453826,nan,nan,0.07085502880672329,1.180056875,73.39200000488282,90.93200003173828,0,0,0,9.443380060197386e-05
40,2.5290973768245686,nan,nan,nan,1.1774690625,73.45000002929687,91.00200003417969,0,0,0,9.415826896012867e-05
41,2.5059003457843922,nan,nan,0.07084815246428994,1.174938125,73.52600002929688,90.96600003417969,0,0,0,9.387655377367758e-05
42,2.4781248608557918,nan,nan,0.0731881985308336,1.172944375,73.70000002929687,91.01400003417969,0,0,0,9.358869952871436e-05
43,2.4897487643811345,nan,nan,nan,1.1724684375,73.74600002685547,91.1160000048828,0,0,0,9.329475168076114e-05
44,2.47047542386966,nan,nan,0.07377687217198688,1.171668125,73.8280000024414,91.14400000488281,0,0,0,9.299475664759068e-05
