epoch,train_loss,train_grad_global,train_grad_avg,train_grad_max,eval_loss,eval_top1,eval_top5,eval_advloss,eval_advtop1,eval_advtop5,lr
25,2.8105327642316538,nan,nan,nan,1.302605,69.84800000976563,88.97599999023437,0,0,0,9.76194237247635e-05
26,2.7609978412552705,nan,nan,nan,1.278400625,70.29599998779297,89.36599999023437,0,0,0,9.74345741151789e-05
27,2.704723626780186,nan,nan,nan,1.2571265625,70.70000001708985,89.58399998779296,0,0,0,9.724302359442434e-05
28,2.695741409258686,nan,nan,nan,1.2413165625,71.10800001220703,89.79200001220703,0,0,0,9.704480241054755e-05
29,2.6665117750636678,nan,nan,0.10234064343039223,1.22683,71.35600000732421,90.0340000366211,0,0,0,9.683994186497131e-05
30,2.6179131251826084,nan,nan,nan,1.2159715625,71.65400000732421,90.26200001220703,0,0,0,9.662847430755062e-05
31,2.600310250437803,nan,nan,nan,1.2083425,71.95000000732422,90.35600000976562,0,0,0,9.641043313146417e-05
32,2.584956561299346,nan,nan,nan,1.2025684375,72.19600002685547,90.42600003662109,0,0,0,9.618585276794129e-05
33,2.560936964339585,nan,nan,nan,1.198188125,72.42200002685547,90.57400001220704,0,0,0,9.595476868082481e-05
34,2.5422382539124797,nan,nan,nan,1.194479375,72.46400002685547,90.70200000732422,0,0,0,9.571721736097089e-05
35,2.497960487382113,nan,nan,nan,1.191175625,72.67600002685546,90.76800000976563,0,0,0,9.54732363204867e-05
36,2.4881239567252753,nan,nan,nan,1.1892778125,72.86,90.82400003417969,0,0,0,9.522286408680687e-05
37,2.4555859550011814,nan,nan,nan,1.1901378125,72.926,90.89800000732421,0,0,0,9.49661401966095e-05
38,2.4792183215479007,nan,nan,nan,1.191271875,73.04200002441407,90.88200000732422,0,0,0,9.47031051895729e-05
39,2.4120108219835874,nan,nan,nan,1.1937246875,73.10600002197266,90.90800003173828,0,0,0,9.443380060197386e-05
40,2.43564196927942,nan,nan,nan,1.1949146875,73.1239999975586,90.90800003173828,0,0,0,9.415826896012867e-05
41,2.431208605341298,nan,nan,nan,1.1952053125,73.24000000488282,90.92400003173829,0,0,0,9.387655377367758e-05
42,2.394898639070235,nan,nan,nan,1.195646875,73.29000002929688,90.87000002929688,0,0,0,9.358869952871436e-05
43,2.3922802098363425,nan,nan,nan,1.1953553125,73.372,90.95000000488281,0,0,0,9.329475168076114e-05
44,2.405640732851341,nan,nan,nan,1.1942978125,73.472,91.08200000488281,0,0,0,9.299475664759068e-05
